               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071984,            0.031683,                   0,           0.0029001,             0.84211,            0.010862,           0.0024763,             0.05477,            0.018072,                   0,            0.070219,            0.003309,            0.003309
                   1,            0.054735,            0.027871,                   0,             0.15858,             0.47368,             0.11614,            0.035198,            0.045408,            0.013124,                   0,            0.040087,           0.0065108,           0.0065108
                   2,            0.049461,            0.023175,                   0,             0.30516,             0.21053,             0.26884,            0.076118,            0.041157,           0.0099312,                   0,           0.0098239,           0.0095806,           0.0095806
                   3,            0.045513,            0.019177,                   0,              0.4533,             0.37101,             0.36274,             0.12893,            0.037862,           0.0075816,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.045579,            0.019814,                   0,             0.38294,             0.47368,              0.3547,             0.14882,            0.035477,           0.0071078,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.043746,             0.02021,                   0,             0.35171,             0.36842,             0.33173,             0.15662,            0.033662,           0.0071862,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.039285,            0.019964,                   0,             0.23886,             0.26316,             0.25652,             0.12182,            0.038516,           0.0062826,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.039912,            0.019413,                   0,             0.27104,             0.26316,             0.29694,             0.15071,            0.034369,           0.0063555,                   0,            0.008812,            0.008812,            0.008812
                   8,             0.03737,            0.019069,                   0,             0.33955,             0.44737,              0.2858,             0.12515,            0.033948,           0.0066848,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.035217,            0.017669,                   0,             0.50495,                 0.5,             0.44045,             0.20709,            0.030779,           0.0071558,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.036345,            0.017453,                   0,             0.44838,             0.39474,             0.41265,             0.15878,            0.031959,           0.0072653,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.032892,             0.01886,                   0,             0.49953,             0.44737,              0.3929,             0.16053,            0.033188,           0.0075242,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.036314,            0.019583,                   0,             0.58229,             0.47368,             0.48296,             0.21925,            0.030454,           0.0070046,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.031271,             0.01854,                   0,             0.57277,             0.57895,             0.57445,              0.2388,            0.028388,            0.007331,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.032349,            0.019553,                   0,             0.59261,             0.47368,              0.5132,             0.23383,            0.028688,           0.0077557,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.032336,            0.019445,                   0,             0.38623,             0.52632,             0.39662,             0.17784,             0.03088,           0.0085652,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.030524,              0.0171,                   0,             0.38377,             0.47368,             0.39857,             0.18066,            0.031742,            0.008166,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.033074,            0.018414,                   0,             0.47635,             0.55263,             0.52679,             0.25311,            0.025991,           0.0083583,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.026754,            0.018209,                   0,              0.5548,             0.60526,             0.62341,             0.24365,            0.026062,           0.0070674,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.029825,            0.018946,                   0,             0.47329,             0.63158,             0.47346,             0.20969,            0.025951,           0.0081959,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.028708,             0.01827,                   0,             0.55382,             0.63158,             0.62598,             0.27864,            0.022702,           0.0083633,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.029159,            0.019097,                   0,             0.45312,             0.57895,             0.48092,             0.23945,            0.023886,            0.010234,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.029064,            0.018465,                   0,             0.67673,             0.66114,             0.70441,             0.32628,             0.02181,           0.0092571,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.026783,            0.017529,                   0,             0.59102,             0.60526,             0.62329,             0.28324,            0.021833,            0.010777,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.029943,             0.01871,                   0,             0.51752,             0.62113,             0.54091,             0.22853,            0.023276,            0.010802,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.027976,            0.019123,                   0,             0.67566,             0.65785,             0.61631,             0.28059,              0.0222,           0.0090292,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.023886,            0.016761,                   0,             0.61599,             0.67554,             0.62428,             0.27845,            0.022714,           0.0092312,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.025431,            0.018276,                   0,             0.61211,             0.66456,             0.62683,             0.30292,            0.021609,           0.0092495,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.026322,             0.01775,                   0,             0.74864,             0.60526,             0.66951,                0.33,            0.021218,           0.0098125,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.026259,             0.01867,                   0,             0.65817,             0.60526,             0.58559,             0.32823,             0.01979,           0.0098542,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.025363,             0.01782,                   0,             0.58643,             0.52632,             0.53483,             0.25673,            0.021685,            0.011714,                   0,            0.004258,            0.004258,            0.004258
                  31,              0.0249,               0.017,                   0,             0.50285,             0.63158,              0.5552,             0.25761,             0.02101,            0.013918,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.024385,            0.017071,                   0,             0.55001,             0.65789,              0.5744,             0.24031,            0.022327,            0.015159,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.023489,            0.017287,                   0,             0.65631,             0.55263,             0.61173,             0.27401,            0.020909,            0.014496,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.024175,            0.016718,                   0,             0.59379,             0.73684,             0.62129,             0.28391,            0.020712,            0.011903,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.023908,            0.017331,                   0,             0.57773,             0.73684,              0.5995,              0.2888,            0.019992,            0.012036,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.022428,            0.016124,                   0,             0.65396,             0.59695,             0.63428,             0.29998,            0.020215,            0.012408,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.024201,            0.016655,                   0,             0.58385,             0.63158,             0.61808,             0.27375,            0.020874,             0.01357,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.021446,            0.017533,                   0,             0.72639,             0.57895,             0.65939,             0.27679,            0.020728,            0.013554,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.022146,            0.016453,                   0,             0.59151,             0.68421,             0.64812,              0.2739,            0.020786,            0.014911,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.019408,             0.01454,                   0,             0.67569,             0.71053,             0.67768,              0.3163,            0.020244,            0.011866,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.022528,            0.016454,                   0,             0.58528,             0.60526,             0.57357,             0.27701,            0.020933,            0.013801,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.02074,            0.016064,                   0,             0.73387,             0.63158,             0.64342,             0.30254,            0.020255,            0.014333,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.021961,            0.016942,                   0,             0.54808,             0.78947,             0.59705,              0.3096,            0.020514,            0.014344,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.019244,             0.01538,                   0,             0.67936,             0.63158,             0.65539,             0.34718,            0.019593,            0.012829,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.020424,            0.016544,                   0,             0.63667,             0.73783,             0.65873,              0.3524,            0.019039,            0.012374,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.021922,             0.01643,                   0,             0.61889,             0.63158,             0.60905,             0.31876,            0.019426,            0.014042,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.018369,            0.015031,                   0,             0.59376,             0.68421,              0.5839,             0.32272,            0.019046,            0.014176,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.017795,            0.014388,                   0,             0.59799,             0.68421,             0.60676,             0.32227,            0.019712,            0.013408,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.019947,            0.015669,                   0,             0.57639,              0.6088,             0.59281,             0.31463,            0.019807,             0.01436,                   0,            0.000496,            0.000496,            0.000496
